Proposal ID,Snapshot ID,Author,Type,Title,Started,Ended,Threshold,Status,Forum Topic,Total VP,MANA VP,LAND VP,NAMES VP,DELEGATED VP,Votes
51794290-30fb-11ee-9309-9f2674902254,0xa27812071a8601ed2f3a11a457d8f094a5d7b4dba47e453210212b602e60b0d0,0xd8330e0bae6ce5877b1d961eeb3ac3152a9e99dd,poi,"Add the location 150,145 to the Points of Interest",2023-08-02T06:10:00.689Z,2023-08-09T06:10:00.688Z,500000,active,20094,"5,996",23,0,100,"5,873",13
e2eb8dd0-30c6-11ee-9309-9f2674902254,0xe31d1268cc9d36a3cacda58bff68d4574cb1e22307c771e6e6776376b1186781,0x113c9cd8c303079a3e222e8d53a319565667a47a,grant,Buidlers Night - Ethereum Argentina Side Event,2023-08-01T23:55:00.381Z,2023-08-15T23:55:00.290Z,2000000,active,20092,"6,489",415,0,200,"5,873",55
01535380-30c6-11ee-9309-9f2674902254,0x4960b911fd21451502cc6c179ebf06adef5d12e53d6d0bb9c83cd6f292f91211,0xdef79f2b0e466260b1e87264d327d03de0eac50c,grant,Create a Metaverse Gaming Center to teach builders how to develop games for DCL,2023-08-01T23:49:00.896Z,2023-08-15T23:49:00.894Z,2496000,active,20091,"6,005",32,0,100,"5,873",21
04fa4800-30b1-11ee-9309-9f2674902254,0x2f18e5029a5bfe696fd58448fb9a183ad5b5b7e4b9a7ef88901390860927969e,0xb5f4ebcc5a90e58d953ee9e64e365c2468f31f51,poll,Implementing Tenure Restrictions for DAO Committee Members,2023-08-01T21:18:00.592Z,2023-08-06T21:18:00.590Z,500000,active,20088,"16,246",893,0,"3,200","12,132",22
a9d7cd60-3085-11ee-a512-65477fceb1b0,0x4905fd5caa18a18d5eaf4e05a3da8b122cfbdf5781ce23ce08504e0948197977,0x5985eb4a8e0e1f7bca9cc0d7ae81c2943fb205bd,grant,Emotional support with help from retail therapy.,2023-08-01T16:08:00.334Z,2023-08-15T16:08:00.332Z,2000000,active,20082,"1,217,961","2,268","22,000","22,700","1,169,384",38
4e57fe70-3084-11ee-a512-65477fceb1b0,0x6a779076aa6e7f27c53285dde222b2f54149b1edf6364ce86c26810f5cd3ce0b,0x0636211443e91468ee3657e1d7faede7059c4843,governance,Should Grant Request Proposals require at least 100 VP to submit?,2023-08-01T15:58:00.328Z,2023-08-15T15:58:00.327Z,6000000,active,20081,"2,641,025","4,094","26,000","147,500","2,391,404",49
0a3b7fd0-3081-11ee-a512-65477fceb1b0,0x9de5924f8e2bb9229a92a76802f9ccd03e39b64bfbcf4230bb9e18a4d4812de5,0x153b2252eddcb3690ae6f5e9f38be13779e1364d,draft, Mark District X as 'stolen' ,2023-08-01T15:35:00.565Z,2023-08-08T15:35:00.565Z,1000000,active,20080,"1,278,337","15,918","60,000","28,100","1,172,757",65
994d4900-3050-11ee-a512-65477fceb1b0,0x5807f08d27eb9f4a9981855f4a47e03a14b206e782ad701492a67947d0049a66,0xe1951ceca2cca5f7ebeb23b1dfdb8eb383f2eb1f,pitch,Decentraland PH,2023-08-01T09:48:00.256Z,2023-08-11T09:48:00.255Z,2000000,active,20079,"1,112,780","2,479","18,000","16,900","1,071,836",45
b58adb20-2fe0-11ee-a512-65477fceb1b0,0x36caf07aa45b040ca964c9c3dff435a12e6dd98c23ab9e13e1be1676ada11f7f,0x511a22cdd2c4ee8357bb02df2578037ffe8a4d8d,pitch,Mobile Backpack Experience,2023-07-31T20:27:00.002Z,2023-08-10T20:27:00.001Z,2000000,active,20066,"6,957,042","3,421","22,000","365,600","6,446,632",68
527ec930-2fde-11ee-a512-65477fceb1b0,0xe286e5292dfa07f3d485c36555a0c2d90ee2d1ce5bd83247cca48d6e3a979c03,0xe5cf1bb88a59f9fc609689c681d1d14bfe7ce73a,grant,Decentraland University Live Teaching Platform,2023-07-31T20:10:00.835Z,2023-08-14T20:10:00.834Z,6800000,active,20065,"6,379,236","34,902","62,000","125,700","6,080,690",64
